from,to,relationship,year_exact,year
ag,fwb,8,1976,4
ag,2j,3,1972,2
ag,fnwb,8,1977,4
ag,cp,7,1977,4
as,fk,8,1975,3
as,mlf,3,1970,1
as,emma,9,1975,3
bc,haw,3,1973,3
bf,fgf,8,1974,3
bur,bf,8,1973,3
bur,frh,8,1972,2
cp,haw,8,1972,2
cp,fkc,8,1971,2
cp,bf,8,1973,3
cp,mk,5,1974,3
cp,laz,3,NA,NA
cp,ik,6,NA,NA
cp,kk,6,NA,NA
cp,dffb,3,1971,2
cp,fnwb,8,1977,4
cp,aue,1,1975,3
cp,cr,7,1975,3
cp,cr,10,NA,NA
cp,ms,6,NA,NA
cp,ff1k,1,1971,2
cp,eh,6,1971,2
cp,ws,6,1971,2
cp,ws,7,1973,3
cp,ws,7,1973,3
cp,ws,10,NA,NA
cr,aue,1,1975,3
eh,ff1k,2,1971,2
eh,ws,6,1971,2
ek,bur,3,NA,NA
ek,tw,6,NA,NA
ek,frh,2,1972,2
ek,hs,6,NA,NA
ek,fh,6,NA,NA
ek,ffg,1,1973,3
ek,tw,7,1973,3
er,haw,3,NA,NA
fh,bur,3,1970,1
fh,sfb,9,1970,1
fh,frh,2,1972,2
fh,hs,6,NA,NA
gn,haw,8,NA,NA
gn,fwb,8,NA,NA
gn,ag,6,NA,NA
gn,ws,7,1973,3
haw,bf,8,1973,3
hs,bur,8,1971,2
hs,fh,6,NA,NA
hs,sfb,8,NA,NA
hs,fh,6,NA,NA
hs,frh,1,1972,2
hs,dffb,3,1966,1
ik,laz,3,1975,3
ik,mk,6,NA,NA
kk,l74,8,1974,3
kk,laz,3,NA,NA
kk,ik,6,NA,NA
kk,ukz,8,1975,3
l74,haw,8,NA,NA
l74,ukz,8,1975,3
mk,ms,5,NA,NA
mk,fkc,4,1973,3
mk,laz,8,NA,NA
ms,fkc,4,1973,3
ms,mk,6,NA,NA
ms,bf,3,NA,NA
ms,un,6,NA,NA
ms,ws,6,1973,3
pl,haw,3,NA,NA
sf,bf,3,1973,3
sf,ms,6,NA,NA
sf,ws,6,1973,3
tw,bur,3,NA,NA
tw,frh,2,1972,2
tw,fh,6,NA,NA
tw,hs,6,NA,NA
tw,ffg,1,1973,3
un,haw,8,NA,NA
un,bf,8,NA,NA
un,cp,6,NA,NA
un,ws,6,1973,3
vb,fkc,4,1970,1
vb,ms,5,NA,NA
vb,mk,5,NA,NA
vb,2j,3,1972,2
vb,ag,6,NA,NA
ws,ff1k,2,1971,2
ws,haw,8,1973,3
ws,bf,8,1973,3
ws,pl,6,1973,3
ws,er,6,1973,3
ws,bc,6,1973,3
ws,un,7,1973,3
cp,cdf,8,1972,2
hs,cdf,8,1972,2
as,bf,3,1973,3
hs,mbf,8,1973,3
lr,mbf,8,1973,3
as,mbf,8,1973,3
cp,mbf,8,1973,3
mm,mbf,8,1973,3
mm,fl,8,1974,3
cr,fl,8,1974,3
mm,fkc,4,1971,2
rb,bf,8,1973,3
rb,bur,3,1973,3
