from,to,relationship,year_exact,years
ag,fwb,8,1976,4
ag,2j,3,1972,2
ag,fnwb,8,1977,4
ag,cp,7,1977,4
as,fk,8,1975,3
as,mlf,3,1970,1
as,emma,9,1975,3
bc,haw,3,1973,3
bf,fgf,8,1974,3
bur,bf,8,1973,3
bur,frh,8,1972,2
cp,haw,8,1972,2
cp,fkc,8,1971,2
cp,bf,8,1973,3
cp,mk,5,1974,3
cp,laz,3,,
cp,ik,6,,
cp,kk,6,,
cp,dffb,3,1971,2
cp,fnwb,8,1977,4
cp,aue,1,1975,3
cp,cr,7,1975,3
cp,cr,10,,
cp,ms,6,,
cp,ff1k,1,1971,2
cp,eh,6,1971,2
cp,ws,6,1971,2
cp,ws,7,1973,3
cp,ws,7,1973,3
cp,ws,10,,
cr,aue,1,1975,3
eh,ff1k,2,1971,2
eh,ws,6,1971,2
ek,bur,3,,
ek,tw,6,,
ek,frh,2,1972,2
ek,hs,6,,
ek,fh,6,,
ek,ffg,1,1973,3
ek,tw,7,1973,3
er,haw,3,,
fh,bur,3,1970,1
fh,sfb,9,1970,1
fh,frh,2,1972,2
fh,hs,6,,
gn,haw,8,,
gn,fwb,8,,
gn,ag,6,,
gn,ws,7,1973,3
haw,bf,8,1973,3
hs,bur,8,1971,2
hs,fh,6,,
hs,sfb,8,,
hs,fh,6,,
hs,frh,1,1972,2
hs,dffb,3,1966,1
ik,laz,3,1975,3
ik,mk,6,,
kk,l74,8,1974,3
kk,laz,3,,
kk,ik,6,,
kk,ukz,8,1975,3
l74,haw,8,,
l74,ukz,8,1975,3
mk,ms,5,,
mk,fkc,4,1973,3
mk,laz,8,,
ms,fkc,4,1973,3
ms,mk,6,,
ms,bf,3,,
ms,un,6,,
ms,ws,6,1973,3
pl,haw,3,,
sf,bf,3,1973,3
sf,ms,6,,
sf,ws,6,1973,3
tw,bur,3,,
tw,frh,2,1972,2
tw,fh,6,,
tw,hs,6,,
tw,ffg,1,1973,3
un,haw,8,,
un,bf,8,,
un,cp,6,,
un,ws,6,1973,3
vb,fkc,4,1970,1
vb,ms,5,,
vb,mk,5,,
vb,2j,3,1972,2
vb,ag,6,,
ws,ff1k,2,1971,2
ws,haw,8,1973,3
ws,bf,8,1973,3
ws,pl,6,1973,3
ws,er,6,1973,3
ws,bc,6,1973,3
ws,un,7,1973,3
cp,cdf,8,1972,2
hs,cdf,8,1972,2
as,bf,3,1973,3
hs,mbf,8,1973,3
lr,mbf,8,1973,3
as,mbf,8,1973,3
cp,mbf,8,1973,3
mm,mbf,8,1973,3
mm,fl,8,1974,3
cr,fl,8,1974,3
mm,fkc,4,1971,2
rb,bf,8,1973,3
rb,bur,3,1973,3
