from,to,relationship,year,weight
hs,bur,8,1971,1
mk,ms,5,NA,1
cp,haw,8,1972,1
mk,fkc,4,1973,1
ms,fkc,4,1973,1
cp,fkc,8,1971,1
sf,bf,3,1973,1
vb,fkc,4,1970,1
vb,ms,5,NA,1
vb,mk,5,NA,1
bur,bf,8,1973,1
haw,bf,8,1973,1
cp,bf,8,1973,1
ms,mk,6,NA,1
ek,bur,3,NA,1
tw,bur,3,NA,1
ag,fwb,8,1976,1
as,fk,8,1975,1
as,mlf,3,1970,1
as,emma,9,1975,1
bc,haw,3,1973,1
er,haw,3,NA,1
fh,bur,3,1970,1
fh,sfb,9,1970,1
gn,haw,8,NA,1
gn,fwb,8,NA,1
gn,ag,6,NA,1
hs,fh,6,NA,1
kk,l74,8,1974,1
l74,haw,8,NA,1
mk,laz,8,NA,1
cp,mk,5,1974,1
pl,haw,3,NA,1
un,haw,8,NA,1
un,bf,8,NA,1
un,cp,6,NA,1
ek,tw,6,NA,1
ik,laz,3,1975,1
ik,mk,6,NA,1
cp,laz,3,NA,1
cp,ik,6,NA,1
kk,laz,3,NA,1
cp,kk,6,NA,1
kk,ik,6,NA,1
l74,ukz,8,1975,1
kk,ukz,8,1975,1
vb,2j,3,1972,1
ag,2j,3,1972,1
vb,ag,6,NA,1
hs,sfb,8,NA,1
hs,fh,6,NA,1
bur,frh,8,1972,1
fh,frh,2,1972,1
hs,frh,1,1972,1
ek,frh,2,1972,1
tw,frh,2,1972,1
cp,dffb,3,1971,1
ek,hs,6,NA,1
ek,fh,6,NA,1
tw,fh,6,NA,1
tw,hs,6,NA,1
fh,hs,6,NA,1
hs,dffb,3,1966,1
ek,ffg,1,1973,1
tw,ffg,1,1973,1
ek,tw,7,1973,1
bf,fgf,8,1974,1
ag,fnwb,8,1977,1
cp,fnwb,8,1977,1
ag,cp,7,1977,1
cp,aue,1,1975,1
cr,aue,1,1975,1
cp,cr,7,1975,1
cp,cr,10,NA,1
ms,bf,3,NA,1
ms,un,6,NA,1
cp,ms,6,NA,1
sf,ms,6,NA,1
cp,ff1k,1,1971,1
eh,ff1k,2,1971,1
ws,ff1k,2,1971,1
cp,eh,6,1971,1
eh,ws,6,1971,1
cp,ws,6,1971,1
ws,haw,8,1973,1
ws,bf,8,1973,1
cp,ws,7,1973,1
un,ws,6,1973,1
ws,pl,6,1973,1
gn,ws,7,1973,1
ws,er,6,1973,1
ws,bc,6,1973,1
sf,ws,6,1973,1
ms,ws,6,1973,1
ws,un,7,1973,1
cp,ws,7,1973,1
cp,ws,10,NA,1
